name,ra,dec,alias
Sh2-259,6.193713,+17.445515,
Sh2-260,4.918853,+5.661737,
Sh2-261,6.149222,+15.801914,
Sh2-262,5.112565,+6.167878,
Sh2-263,5.362409,+8.399045,
Sh2-264,5.586813,+9.933444,
Sh2-265,5.310105,+7.439827,
Sh2-266,6.313843,+15.277917,
Sh2-267,6.264817,+14.268333,
Sh2-268,6.170846,+13.331972,
Sh2-269,6.242845,+13.82151,
Sh2-270,6.170494,+12.815331,
Sh2-271,6.24851,+12.353946,NGC2024
Sh2-272,6.250165,+12.337037,
Sh2-273,6.68014,+9.907976,
Sh2-274,7.485249,+13.261901,
Sh2-275,6.52858,+4.929601,
Sh2-276,5.45781,-3.965235,
Sh2-277,5.678785,-2.447129,
Sh2-278,5.330063,-5.663622,
Sh2-279,5.58893,-4.80088,
Sh2-280,6.572036,+2.539877,
Sh2-281,5.581832,-5.46655,
Sh2-282,6.633045,+1.514364,
Sh2-283,6.644198,+0.71272,
Sh2-284,6.75056,+0.230754,
Sh2-285,6.920099,-0.51013,
Sh2-286,6.909235,-4.508767,
Sh2-287,6.9924,-4.803895,
Sh2-288,7.142749,-4.308334,
Sh2-289,6.76572,-7.338431,
Sh2-290,8.903078,+8.921149,
Sh2-291,6.923659,-8.027641,
Sh2-292,7.073832,-10.448953,
Sh2-293,7.029918,-11.309482,
Sh2-294,7.276249,-9.44378,
Sh2-295,7.044827,-11.461588,
Sh2-296,7.09668,-11.218861,
Sh2-297,7.087616,-12.334307,
Sh2-298,7.310545,-13.198677,NGC2359
Sh2-299,7.511043,-15.292785,
Sh2-300,7.51764,-15.410348,
Sh2-301,7.163566,-18.478552,
Sh2-302,7.528301,-16.978521,
Sh2-303,6.900497,-22.425052,
Sh2-304,6.724056,-24.133297,
Sh2-305,7.502248,-18.525075,
Sh2-306,7.5102,-19.109509,
Sh2-307,7.592213,-18.753848,
Sh2-308,6.902701,-23.942112,
Sh2-309,7.535018,-19.429536,
Sh2-310,7.217599,-24.586373,
Sh2-311,7.87244,-26.441049,
Sh2-312,8.986033,-25.688546,
Sh2-313,12.89212,-22.85992,
