name,ra,dec
LdN-941,20.945681,+45.826583
LdN-942,21.272956,+43.209629
LdN-943,21.277898,+43.393201
LdN-944,21.294664,+43.293997
LdN-945,20.962066,+46.527444
LdN-946,21.316339,+43.461694
LdN-947,21.333122,+43.312481
LdN-948,21.344857,+43.246366
LdN-949,21.323001,+43.528675
LdN-950,21.008861,+46.613206
LdN-951,21.35152,+43.313343
LdN-952,21.341425,+43.462874
LdN-953,21.356512,+43.380247
LdN-954,21.028649,+47.197561
LdN-955,20.961397,+47.860762
LdN-956,21.193169,+45.972458
LdN-957,21.011629,+47.780027
LdN-958,20.983018,+48.111889
LdN-959,21.196256,+46.539281
LdN-960,21.142424,+47.169969
LdN-961,21.147412,+47.236883
LdN-962,21.02806,+48.364214
LdN-963,21.229717,+46.540911
LdN-964,21.159058,+47.370797
LdN-965,21.330391,+45.879046
LdN-966,21.002613,+49.029578
LdN-967,21.170674,+47.571369
LdN-968,21.375704,+45.547822
LdN-969,21.565518,+43.589671
LdN-970,21.212598,+47.373424
LdN-971,21.014176,+49.31351
LdN-972,21.355381,+46.130218
LdN-973,21.6242,+43.225532
LdN-974,21.321698,+46.628644
LdN-975,21.195627,+47.872601
LdN-976,21.402276,+46.01572
LdN-977,21.649292,+43.226596
LdN-978,21.018987,+49.697097
LdN-979,21.657609,+43.360283
LdN-980,21.413904,+46.216256
LdN-981,20.993609,+50.195797
LdN-982,21.040624,+49.914875
LdN-983,21.539866,+45.055228
LdN-984,21.027079,+50.197519
LdN-985,20.985025,+50.578693
LdN-986,21.539801,+45.221894
LdN-987,21.01342,+50.680159
LdN-988,21.077285,+50.200074
LdN-989,21.36312,+47.547256
LdN-990,20.981272,+51.278505
LdN-991,21.03841,+50.881442
LdN-992,20.908847,+52.024728
LdN-993,21.443507,+47.417616
LdN-994,21.433362,+47.650491
LdN-995,21.445136,+47.517689
LdN-996,20.959112,+51.944031
LdN-997,21.443389,+47.68428
LdN-998,21.068356,+51.199636
LdN-999,21.127223,+50.702588
LdN-1000,21.110392,+50.868417
LdN-1001,21.455102,+47.68481
LdN-1002,20.941907,+52.693144
LdN-1003,20.992336,+52.36243
LdN-1004,21.025817,+52.364153
LdN-1005,21.227659,+50.707525
LdN-1006,21.521999,+47.804464
LdN-1007,21.421081,+48.883277
LdN-1008,21.446111,+49.051081
LdN-1009,21.563807,+47.889633
LdN-1010,21.647843,+47.059894
LdN-1011,21.109526,+52.368394
LdN-1012,21.568736,+48.106516
LdN-1013,21.00845,+53.363277
LdN-1014,21.400455,+49.999009
LdN-1015,21.008342,+53.529938
LdN-1016,21.32962,+51.012394
LdN-1017,21.422137,+50.166671
LdN-1018,21.075476,+53.283358
LdN-1019,21.349747,+50.946671
LdN-1020,21.714726,+47.229354
LdN-1021,21.35975,+51.03047
LdN-1022,21.159456,+52.870885
LdN-1023,20.974301,+54.361528
LdN-1024,21.704565,+47.528936
LdN-1026,21.024759,+54.030789
LdN-1027,21.108915,+53.368378
LdN-1028,21.092065,+53.534199
LdN-1029,21.024649,+54.197454
LdN-1030,21.77504,+47.098474
LdN-1031,21.764945,+47.231403
LdN-1032,21.058196,+54.115832
LdN-1033,20.620483,+57.175749
LdN-1034,21.091745,+54.034191
LdN-1035,21.744659,+47.730584
LdN-1036,20.637229,+57.176691
LdN-1037,20.906552,+55.441333
LdN-1038,20.771882,+56.350793
LdN-1039,20.704491,+56.847102
LdN-1040,21.776467,+47.731871
LdN-1041,20.636944,+57.510015
LdN-1042,21.820121,+47.400278
LdN-1043,21.663671,+49.227246
LdN-1044,20.687327,+57.346161
LdN-1045,21.806632,+47.649745
LdN-1046,21.722487,+48.729684
LdN-1047,21.801525,+47.86621
LdN-1048,21.587816,+50.340693
LdN-1049,20.703933,+57.51375
LdN-1050,21.091193,+54.867512
LdN-1051,20.71231,+57.514213
LdN-1052,21.79807,+48.132741
LdN-1053,20.990113,+55.695703
LdN-1054,21.579261,+50.723662
LdN-1055,21.887158,+47.202889
LdN-1056,20.97312,+56.028161
LdN-1057,21.730504,+49.563352
LdN-1058,21.040123,+56.031609
LdN-1059,21.679742,+50.727932
LdN-1060,21.191417,+55.289157
LdN-1061,20.972099,+57.361469
LdN-1062,21.224758,+55.540784
LdN-1063,21.123649,+56.369163
LdN-1064,21.224702,+55.624118
LdN-1065,21.123528,+56.535824
LdN-1066,21.79698,+50.732715
LdN-1067,21.156918,+56.704152
LdN-1068,21.104663,+57.118227
LdN-1069,21.14004,+56.869987
LdN-1070,21.780082,+51.065374
LdN-1071,20.971423,+58.194783
LdN-1072,21.274571,+56.209858
LdN-1073,21.805057,+51.39971
LdN-1074,21.57763,+53.890292
LdN-1075,21.52708,+54.388091
LdN-1076,20.822465,+59.853613
LdN-1077,21.627989,+53.725781
LdN-1078,21.611051,+54.058395
LdN-1079,21.543643,+54.722154
LdN-1080,21.358139,+56.547134
LdN-1081,21.610866,+54.391727
LdN-1082,20.852318,+60.188555
LdN-1083,21.559653,+55.972868
LdN-1084,21.694382,+54.895249
LdN-1085,21.559159,+56.75619
LdN-1086,21.474798,+57.552475
LdN-1087,21.592819,+56.557643
LdN-1088,21.643319,+56.226459
LdN-1089,20.546865,+63.505085
LdN-1090,21.592713,+56.724309
LdN-1091,22.013823,+52.907667
LdN-1092,21.626086,+56.975739
LdN-1093,21.558577,+57.639512
LdN-1094,20.546216,+64.005067
LdN-1095,21.710329,+56.312588
LdN-1096,21.524753,+58.054701
