name,ra,dec,diameter,mag,alias
IC416,80.985,-17.260278,1.4,13.3,
IC417,82.02459,34.423889,13,,Sh2-234
IC418,81.867915,-12.696667,0.2,9.3,
IC419,82.71666,30.118056,,,
IC420,83.05833,-4.52,6,,
IC421,83.03541,-7.917778,3.3,14.2,
IC422,83.07708,-17.223889,0.7,13.3,IC2131
IC423,83.341665,-0.614444,2,,
IC424,83.404995,-0.413056,120,,
IC425,84.3,32.416667,,,
IC426,84.129165,-0.298333,7,,
IC427,84.075,-6.616667,,,
IC428,84.10083,-6.451667,,,
IC429,84.574995,-7.036667,,,
IC430,84.575835,-7.040556,11,,
IC431,85.05834,-1.463333,5,,
IC432,85.22916,-1.506667,8,,
IC433,85.12959,-11.665278,0.7,13.2,
IC434,85.249995,-2.453333,60,,
IC435,85.750005,-2.312778,4,,
IC436,88.416255,38.628333,,,
IC437,87.905415,-12.564444,0.9,14.5,
IC438,88.249995,-17.875833,2.8,11.9,
IC439,89.175,32.016667,,,
IC440,94.80417,80.068333,1.6,13.3,
IC441,90.67791,-12.499722,1.4,13.7,
IC442,99.04959,82.968889,0.9,12.9,
IC443,94.150005,22.516667,50,,Sh2-248
IC444,95.625,22.866667,48,,
IC445,99.3375,67.86,1.2,13.2,
IC446,97.774995,10.459722,5,,IC2167
IC447,97.76667,9.866667,25,,IC2169
IC448,98.187495,7.388333,15,,
IC449,101.419995,71.343611,1.7,12.5,
IC450,103.051245,74.4275,0.8,13.9,
IC451,103.21584,74.48,1.3,13.8,
IC452,102.162495,-16.901111,0.6,,NGC2296
IC453,102.297915,-16.906389,,,
IC454,102.77583,12.9225,1.2,13.4,
IC455,113.74041,85.537778,1.1,13.3,
IC456,105.072495,-30.163056,2.1,11.9,
IC457,107.367915,50.153056,0.4,14.8,NGC2330
IC458,107.64042,50.119722,0.9,13.5,
IC459,107.660835,50.177778,0.3,14.5,
IC460,107.683755,50.202222,0.4,14.6,
IC461,107.687505,50.081389,0.7,14.9,
IC462,107.732085,50.181111,,,
IC463,107.753745,50.119444,0.3,15,
IC464,107.768745,50.136111,0.8,13.8,
IC465,107.890005,50.248889,0.9,13.7,NGC2334
IC466,107.162085,-4.317222,1,,Sh2-288
IC467,112.57416,79.8725,3.1,12.6,
IC468,109.328745,-13.218611,,,
IC469,118.997085,85.158611,2.2,12.7,
IC470,110.88084,46.079167,,,
IC471,115.90167,49.668056,0.6,13.3,
IC472,115.959165,49.613333,1.6,13.4,
IC473,115.602915,9.254722,,,
IC474,116.53041,26.504444,1,14.4,
IC475,116.788335,30.488889,0.8,14.5,
IC476,116.818335,26.950833,0.5,14.8,
IC477,118.028745,23.483611,0.9,14.4,
IC478,118.423335,26.492222,0.6,14.4,
