name,ra,dec,pmra,pmdec,mag,alias
42 Cet,19.951232,-0.509031,6.35,-14.96,5.87,
phi Cas,20.020485,58.231613,-1.479,-1.231,4.98,
35 Cas,20.271942,64.658132,59.198,-23.119,6.322,
l Psc,20.280721,28.738207,28.484,-74.486,5.223,
ksi And,20.585083,45.528777,31.681,9.024,4.868,Adhil
43 Cet,20.645123,-0.449673,23.068,-11.958,6.503,
47 And,20.919234,37.714944,82.131,-18.986,5.587,
tet Cet,21.005847,-8.183261,-76.226,-201.519,3.59,
44 Cet,21.010578,-8.007414,178.977,-66.724,6.21,
46 Cet,21.405164,-14.598785,38.357,-18.188,4.907,
del Cas,21.453964,60.235284,296.57,-49.22,2.68,Ruchbah
psi Cas,21.48343,68.130014,74.122,26.31,4.727,
rho Psc,21.563593,19.172347,-25.803,11.283,5.344,
94 Psc,21.673663,19.240424,51.289,-57.443,5.495,
47 Cet,21.714853,-13.056511,13.929,9.616,5.505,
R Scl,21.742058,-32.543177,-9.212,-30.813,5.72,
ome And,21.914086,45.406685,357.564,-110.039,4.83,
95 Psc,21.915843,5.352788,-20.31,-136.88,7.04,
gam Phe,22.091369,-43.318235,-17.72,-206.864,3.42,
48 Cet,22.400565,-21.629336,56.469,4.134,5.104,
97 Psc,22.470261,18.355669,58.117,-2.462,6.023,
49 And,22.525423,47.007272,-0.95,-42.638,5.261,
mu. Psc,22.546312,6.143822,291.213,-45.788,4.84,
38 Cas,22.80732,70.2646,136.672,-75.007,5.82,
del Phe,22.812933,-49.072703,138.339,154.031,3.935,
eta Psc,22.870867,15.345832,28.584,-3.217,3.62,Alpherg
chi Cas,23.482839,59.232054,-44.188,-18.538,4.681,
49 Cet,23.657411,-15.676361,94.351,-3.13,5.607,
100 Psc,23.715088,12.558636,13.07,-13.037,7.3,
101 Psc,23.94351,14.661421,3.217,-8.234,6.219,
50 Cet,23.995707,-15.400182,17.05,14.282,5.402,
tau Scl,24.035398,-29.907304,127.157,34.772,5.69,
ups And,24.19934,41.405459,-171.892,-381.815,4.1,Titawin
pi. Psc,24.274692,12.141783,-72.589,9.676,5.535,
ups Per,24.498158,48.628212,62.968,-111.999,3.57,Nembus
40 Cas,24.628825,73.040038,-11.616,-13.641,5.281,
104 Psc,24.814338,14.285559,88.971,-27.186,6.75,
chi And,24.837452,44.386175,-13.395,8.635,5.008,
105 Psc,24.920076,16.405855,82.98,-12.383,5.979,
p Eri A,24.949219,-56.193318,262.615,14.961,5.685,
tau And,25.145068,40.577048,15.99,-23.76,4.94,
tau01 Hyi,25.339431,-79.148194,65.779,22.658,6.33,
nu. Psc,25.357891,5.487613,-23.36,3.36,4.44,
pi. Scl,25.535955,-32.326988,-82.704,-4.233,5.256,
43 Cas,25.585529,68.043025,53.076,-9.03,5.59,
q01 Eri,25.622144,-53.740831,166.041,-105.496,5.52,
107 Psc,25.62401,20.268512,-300.737,-673.539,5.24,
42 Cas,25.732763,70.622526,76.295,-14.091,5.174,
44 Cas,25.832319,60.551332,13.111,-11.845,5.76,
phi Per,25.915158,50.688731,24.59,-14.01,4.06,
tau Cet,26.017013,-15.93748,-1721.728,854.963,3.5,
109 Psc,26.232606,20.083149,-43.357,-104.936,6.279,
omi Psc,26.348438,9.157751,71.227,53.727,4.26,Torcular
eps Scl,26.411488,-25.052612,159.36,-73.17,5.31,
120 Phe,26.524855,-50.816254,42.827,-16.559,5.49,
q02 Eri,26.526095,-53.522036,126.534,59.909,5.033,
VY Psc,26.647077,17.412698,49.315,3.096,6.55,
tau02 Hyi,26.943528,-80.176309,-71.111,-57.425,6.04,
4 Ari,27.045515,16.955516,63.473,-29.89,5.841,
chi Cet,27.396261,-10.686408,-147.867,-93.48,4.68,
1 Ari A,27.535712,22.275336,-14.896,-7.666,6.2,
54 Cet,27.716552,11.043378,-69.516,-27.52,5.922,
zet Cet,27.86513,-10.335031,39.752,-40.956,3.72,Baten Kaitos
1 Per,27.997167,55.147384,12.716,-8.41,5.52,
2 Per,28.039051,50.792793,17.532,-29.09,5.689,
eta01 Hyi,28.144892,-67.944504,22.527,-6.736,6.76,
alf Tri,28.270439,29.578819,12.341,-233.04,3.42,Mothallah
55 And,28.322268,40.72979,-10.028,-3.966,5.394,
gam01 Ari,28.38258,19.295953,77.845,-106.965,4.589,
ksi Psc,28.388904,3.187532,32.687,25.146,4.604,
psi Phe,28.411414,-46.302669,-91.676,-86.746,4.41,
phi Phe,28.5918,-42.496928,-33.476,-30.113,5.109,
eps Cas,28.598892,63.6701,29.587,-18.387,3.37,Segin
bet Ari,28.660045,20.808031,98.74,-110.41,2.65,Sheratan
eta02 Hyi,28.733881,-67.647303,75.927,73.401,4.685,
sig Hyi,28.96062,-78.348546,103.301,53.891,6.146,
7 Ari,28.96266,23.577315,11.572,-8.569,5.749,
chi Eri,28.989415,-51.608877,680.11,294.318,3.7,
ome Cas,29.000118,68.68524,15.067,-10.313,4.968,
56 And,29.039019,37.251833,183.259,11.572,5.69,
56 Cet,29.167511,-22.526784,60.374,-24.635,4.85,
iot Ari,29.337728,17.817533,34.76,-22.95,5.105,
lam Ari,29.482153,23.596063,-92.295,-13.207,4.766,
58 Cet,29.497547,-2.059499,38.41,8.559,6.56,
