ra,dec,ra1,dec1
340.6695,-46.8851,347.5905,-45.235
347.5905,-45.235,346.7145,-43.5161
242.19,44.9314,248.526,42.4333
248.526,42.4333,250.7265,38.9153
250.7265,38.9153,250.32,31.5986
250.32,31.5986,247.5525,21.4859
247.5525,21.4859,245.472,19.1482
247.5525,21.4859,258.6555,14.3812
264.867,46.0028,269.061,37.248
269.061,37.248,260.919,37.1334
260.919,37.1334,258.759,36.8011
258.759,36.8011,250.7265,38.9153
258.759,36.8011,255.069,30.9168
255.069,30.9168,250.32,31.5986
255.069,30.9168,258.747,24.832
258.747,24.832,262.6725,26.0982
262.6725,26.0982,266.6145,27.714
266.6145,27.714,269.439,29.2323
269.439,29.2323,271.8855,28.751
271.8855,28.751,269.622,30.1834
271.8855,28.751,275.925,21.7667
275.925,21.7667,272.19,20.7984
275.925,21.7667,281.4135,20.5348
281.4135,20.5348,281.7525,18.1685
63.501,-42.2843,40.6335,-50.7984
40.6335,-50.7984,39.351,-52.5345
39.351,-52.5345,40.164,-54.5513
40.164,-54.5513,45.9,-59.7309
45.9,-59.7309,44.7015,-64.0681
211.593,-26.6655,199.728,-23.1647
199.728,-23.1647,178.224,-33.9019
178.224,-33.9019,173.2515,-31.8507
173.2515,-31.8507,162.399,-16.1861
162.399,-16.1861,156.5145,-16.8335
156.5145,-16.8335,152.6415,-12.3472
152.6415,-12.3472,151.272,-13.052
151.272,-13.052,147.8685,-14.8339
147.8685,-14.8339,141.8925,-8.6517
141.8925,-8.6517,144.9585,-1.1345
144.9585,-1.1345,138.5925,2.2976
138.5925,2.2976,133.848,5.9358
133.848,5.9358,130.8,3.3862
130.8,3.3862,129.684,3.3346
129.684,3.3346,129.408,5.7009
129.408,5.7009,131.694,6.4171
131.694,6.4171,133.848,5.9358
56.8095,-74.2324,6.435,-77.2519
6.435,-77.2519,39.8895,-68.2679
39.8895,-68.2679,35.4315,-68.6518
35.4315,-68.6518,28.734,-67.6319
28.734,-67.6319,29.691,-61.5643
309.3915,-47.2805,319.968,-53.434
319.968,-53.434,329.4735,-54.981
319.968,-53.434,313.6995,-58.4474
333.9945,37.735,337.6155,43.1151
337.6155,43.1151,337.386,47.6987
337.386,47.6987,336.126,49.4692
336.126,49.4692,335.8905,52.2194
335.8905,52.2194,337.8165,50.2656
337.8165,50.2656,337.386,47.6987
141.159,26.167,142.9245,22.9641
142.9245,22.9641,146.46,23.7663
146.46,23.7663,148.1895,26.0008
148.1895,26.0008,154.1655,23.4168
154.1655,23.4168,154.9905,19.8358
154.9905,19.8358,151.8345,16.7476
151.8345,16.7476,152.091,11.9691
152.091,11.9691,145.2855,9.8835
152.091,11.9691,168.558,15.4183
168.558,15.4183,177.267,14.5646
177.267,14.5646,168.5235,20.5176
168.5235,20.5176,154.9905,19.8358
168.558,15.4183,170.976,10.5195
170.976,10.5195,170.283,6.0161
163.3275,34.1999,156.9675,36.6979
156.9675,36.6979,151.857,35.2312
78.0765,-11.866,78.306,-12.9317
78.306,-12.9317,79.893,-13.1666
79.893,-13.1666,78.231,-16.1975
78.231,-16.1975,83.1825,-17.819
83.1825,-17.819,86.7345,-14.8167
86.7345,-14.8167,87.399,-14.4844
87.399,-14.4844,89.1,-14.1692
83.1825,-17.819,82.059,-20.7525
87.8235,-20.8671,86.115,-22.4313
86.115,-22.4313,82.059,-20.7525
82.059,-20.7525,80.1105,-21.2338
80.1105,-21.2338,76.3635,-22.3683
239.5425,-14.2666,238.4595,-16.7189
238.4595,-16.7189,236.019,-15.6647
236.019,-15.6647,233.8815,-14.7823
233.8815,-14.7823,229.2525,-9.3679
229.2525,-9.3679,222.714,-16.0314
222.714,-16.0314,226.014,-25.2674
226.014,-25.2674,234.2475,-28.1322
234.2475,-28.1322,234.66,-29.7652
226.014,-25.2674,229.2525,-9.3679
241.65,-36.8011,240.024,-38.3824
